video_id,video_title,published_at,playlist_name,playlist_id,video_url,channel_title,views,likes,comments,duration,angry,disgust,fear,happy,sad,surprise,neutral,pct_with_face
jG7dSXcfVqE,DO WHAT YOU CAN'T,2017-03-30T18:43:28Z,best of CASEY NEISTAT,PLTHOlLMWEwVy2ZNmdrwRlRlVfZ8fiR_ms,https://www.youtube.com/watch?v=jG7dSXcfVqE,CaseyNeistat,16277924,691571,30008,PT3M53S,17.523226719642953,0.24097780959281356,18.517776283349125,20.266598102129056,16.029071962499533,2.186483449720501,25.235866938060845,38.52459016393443
E1mnleeD5pI,They Saw Me NAKED,2016-07-21T14:51:21Z,Vlog,PLTHOlLMWEwVy52FUngq91krMkQDQBagYw,https://www.youtube.com/watch?v=E1mnleeD5pI,CaseyNeistat,1656763,51555,4236,PT7M28S,7.222640187062526,0.016818376440512702,22.243248718303715,18.257250639228477,20.638272193383603,1.3153980947427824,30.306372514879904,25.213675213675213
LVpy7fRYhsY,THE PERFECT BUSINESS CLASS BED!,2016-07-21T14:51:21Z,Vlog,PLTHOlLMWEwVy52FUngq91krMkQDQBagYw,https://www.youtube.com/watch?v=LVpy7fRYhsY,CaseyNeistat,4626545,90031,4585,PT11M32S,13.634122007345685,0.23890773303264778,18.53811255935786,20.658698844120305,16.22695005635344,1.3080272178924144,29.395181996938284,38.504155124653735
NGStMwh0-TA,She Was WILD,2016-07-21T14:51:21Z,Vlog,PLTHOlLMWEwVy52FUngq91krMkQDQBagYw,https://www.youtube.com/watch?v=NGStMwh0-TA,CaseyNeistat,8440150,96529,8396,PT11M6S,13.71980410872336,0.5128109569254017,10.279433868270976,21.207762002567584,17.659794419050403,1.785440436594161,34.83495456613823,54.46685878962536
Rdd9DlA1sJQ,HE DRANK THE MOONSHINE,2016-07-21T14:51:21Z,Vlog,PLTHOlLMWEwVy52FUngq91krMkQDQBagYw,https://www.youtube.com/watch?v=Rdd9DlA1sJQ,CaseyNeistat,1598146,48153,3038,PT8M29S,12.180348073679,0.046952726664628935,14.9935907407726,26.370414249407872,11.486865521363892,2.406909172791137,32.5149197799363,49.24812030075188
1irFXrUJNOM,"broke my camera, broke my hand",2016-07-21T14:51:21Z,Vlog,PLTHOlLMWEwVy52FUngq91krMkQDQBagYw,https://www.youtube.com/watch?v=1irFXrUJNOM,CaseyNeistat,2388779,64279,8720,PT9M29S,12.950455393651339,0.09672304803385345,7.57180961792896,20.311408598469086,20.63232813511203,0.7866186995815991,37.65065693118401,59.863945578231295
XjSa8juMyJ0,NEVER fly a Drone in a NYC Alley,2016-07-21T14:51:21Z,Vlog,PLTHOlLMWEwVy52FUngq91krMkQDQBagYw,https://www.youtube.com/watch?v=XjSa8juMyJ0,CaseyNeistat,1967609,59958,6473,PT7M22S,15.003160376681077,1.1463395616870335,22.408338164060073,13.091109259052116,14.747658915749145,2.317621307646181,31.285772955441598,56.27705627705628
9p1qSL9_nnI,FOLLOW YOUR DREAMS,2016-07-21T14:51:21Z,Vlog,PLTHOlLMWEwVy52FUngq91krMkQDQBagYw,https://www.youtube.com/watch?v=9p1qSL9_nnI,CaseyNeistat,2092383,83591,6018,PT7M39S,18.751334357384522,0.055845552252698244,5.678739593623301,18.065614752741528,8.198271104826809,1.4699022244412046,47.78029280825947,79.07949790794979
3MyVk-17haI,She Always Does This,2016-07-21T14:51:21Z,Vlog,PLTHOlLMWEwVy52FUngq91krMkQDQBagYw,https://www.youtube.com/watch?v=3MyVk-17haI,CaseyNeistat,1664755,62658,5431,PT9M24S,10.209382549960601,0.1164685093660473,18.724006972499648,15.833520704888754,18.64527712420101,5.594181216384941,30.877163547613705,32.31292517006803
eziSmP-ThWI,Kinda Disgusting,2016-07-21T14:51:21Z,Vlog,PLTHOlLMWEwVy52FUngq91krMkQDQBagYw,https://www.youtube.com/watch?v=eziSmP-ThWI,CaseyNeistat,1500113,52708,4244,PT9M6S,10.300121445117034,0.004934584961914126,14.660682572071245,24.47169594530508,16.783559499308144,2.8729097789864606,30.90609706651016,28.771929824561404
